Danby,Otter Creek,,,,,125,16,,,,,,
Mount Tabor,Otter Creek,,,,,125,16,,,,,,
Center Rutland,Otter Creek,,,,,,,,,500,9.6,,
Clarendon,Otter Creek,,,,,,,,,500,9.6,,
Center Rutland,Otter Creek,,,,,,,,,1000,9.6,,
Proctor,Otter Creek,,,,,,,,,1000,9.6,,
Danby,Otter Creek,,,,,,,,,125,15.1,,
Mount Tabor,Otter Creek,,,,,,,,,125,15.1,,
Danby,Otter Creek,,,,,125,16,,,,,,
Mount Tabor,Otter Creek,,,,,125,16,,,,,,
Saint Johnsbury,Passumpsic River,,,,,250,16,,,,,,
Saint Johnsbury,Passumpsic River,,,,,,,,,250,15.1,,
Lyndon ,Passumpsic River,,,,,,,,,700,9.3,,
 Saint Johnsbury,Passumpsic River,,,,,,,,,700,9.3,,
Lyndon ,Passumpsic River,,,,,550,10.5,,,,,,
 Saint Johnsbury,Passumpsic River,,,,,550,10.5,,,,,,
Saint Johnsbury,Passumpsic River,,,,,,,,,250,15.1,,
Saint Johnsbury,Passumpsic River,,,,,250,16,,,,,,
Newark,Passumpsic River East Branch,100,9.6,,,,,,,,,,
Burke,Passumpsic River East Branch,100,9.6,,,,,,,,,,
Burke,Passumpsic River East Branch,,,,,165,10.5,,,,,,
Lyndon,Passumpsic River East Branch,,,,,165,10.5,,,,,,
Burke,Passumpsic River West Branch,,,,,,,,,150,9.3,,
Lyndon,Passumpsic River West Branch,,,,,,,,,150,9.3,,
Burke,Passumpsic River West Branch,50,9.6,,,,,,,,,,
Lyndon,Passumpsic River West Branch,50,9.6,,,,,,,,,,
Burke,Passumpsic River West Branch,50,9.6,,,,,,,,,,
Lyndon,Passumpsic River West Branch,50,9.6,,,,,,,,,,
Poultney,Poultney River,1008,9,,,,,,,,,,
Dorset,Prentiss Pond,500,9.7,,,,,,,,,,
Woodford,Red Mill Pond,500,8.7,,,,,,,,,,
Duxbury,Ridley Brook,500,9.1,,,,,,,,,,
Williamstown,Rood Pond,900,9,,,,,,,,,,
Brookfield,Rood Pond,900,9,,,,,,,,,,
Woodbury,Sabin Pond,,,,,1000,10,,,,,,
Woodbury,Sabin Pond,,,,,,,,,500,8.7,,
Morgan,Seymour Lake,,,,,,,,,,,2000,7.1
Cambridge,Seymour River,700,9.1,,,,,,,,,,
Glover,Shadow Lake,,,600,8,,,,,,,,
Shaftsbury,Shaftsbury Hollow Brook,400,0,,,,,,,,,,
Whitingham,Sherman Reservoir,,,,,,,,,1200,8,,
Leicester,Silver Lake,500,8.98,,,,,,,,,,
Saint Johnsbury,Sleepers River,,,,,100,10.5,,,,,,
Saint Johnsbury,Sleepers River,,,,,,,,,125,9.3,,
Pittsford,Smith Pond,258,9,,,,,,,,,,
Pittsford,Smith Pond,400,9.7,,,,,,,,,,
Marlboro,South Pond,,,,,,,,,100,9,,
Marlboro,South Pond,,,,,1600,10,,,,,,
Brighton,Spectacle Pond,,,,,500,10,,,,,,
Shrewsbury,Spring Lake,502,9,,,,,,,,,,
