town,parent,water,bkt,bkt-length,lat,lat-length,rbt,rbt-length,stt,stt-length,bnt,bnt-length,las,las-length,total
Irasburg,5845,MASTER,0,0,0,0,0,0,0,0,300,0,0,0,300
Isle La Motte,5463,,,,,,,,,,,,,,
Jacksonville,5342,,,,,,,,,,,,,,
Jamaica,Jamaica,West River,0,0,0,0,500,10.5,0,0,0,0,0,0,
Jamaica,5343,MASTER,0,0,0,0,500,0,0,0,0,0,0,0,500
Jeffersonville,Jeffersonville,Brewster River,600,9.1,0,0,0,0,0,0,0,0,0,0,
Jeffersonville,5464,MASTER,600,0,0,0,0,0,0,0,0,0,0,0,600
Jericho,Jericho,Browns River,900,9.1,0,0,0,0,0,0,0,0,0,0,
Jericho,5465,MASTER,900,0,0,0,0,0,0,0,0,0,0,0,900
Johnson,Johnson,Lamoille River,0,0,0,0,2300,10.5,0,0,0,0,0,0,
Johnson,5656,MASTER,0,0,0,0,2300,0,0,0,0,0,0,0,2300
Jonesville,5466,,,,,,,,,,,,,,
Killington,Killington,Colton Pond,1000,9.5,0,0,0,0,0,0,0,0,0,0,
Killington,Killington,Kent Pond,500,9.7,0,0,1500,12.6,0,0,0,0,0,0,
Killington,5751,MASTER,1500,0,0,0,1500,0,0,0,0,0,0,0,3000
Lake Elmore,5657,,,,,,,,,,,,,,
Leicester,Brandon,Lake Dunmore,0,0,505,7.27,450,10.4,0,0,0,0,0,0,
Leicester,Brandon,Silver Lake,500,8.98,0,0,0,0,0,0,0,0,0,0,
Lincoln,Bristol,New Haven River Upper,300,9.1,0,0,0,0,0,0,0,0,0,0,
Londonderry,5148,,,,,,,,,,,,,,
Lowell,5847,,,,,,,,,,,,,,
Ludlow,Ludlow,Lake Rescue,0,0,100,8,1400,12.07142857,0,0,600,9,0,0,
Ludlow,5149,MASTER,0,0,100,0,1400,0,0,0,600,0,0,0,2100
Lunenburg,5906,,,,,,,,,,,,,,
Lyndon,Lyndon,Millers Run,50,9.6,0,0,770,10.5,0,0,0,0,0,0,
Lyndon,Lyndon,Passumpsic River,0,0,0,0,550,10.5,0,0,700,9.3,0,0,
Lyndon,Lyndon,Passumpsic River East Branch,0,0,0,0,165,10.5,0,0,0,0,0,0,
Lyndon,Lyndon,Passumpsic River West Branch,100,9.6,0,0,0,0,0,0,150,9.3,0,0,
Lyndon,5851,MASTER,150,0,0,0,935,0,0,0,150,0,0,0,1235
Lyndon,5851,MASTER,0,0,0,0,550,0,0,0,700,0,0,0,1250
Lyndon Center,5850,,,,,,,,,,,,,,
Manchester,Manchester,Bullhead Pond,800,8.7,0,0,0,0,0,0,0,0,0,0,
Manchester,5255,MASTER,800,0,0,0,0,0,0,0,0,0,0,0,800
Manchester Center,5254,,,,,,,,,,,,,,
Marlboro,Marlboro,South Pond,0,0,0,0,1600,10,0,0,100,9,0,0,
Marlboro,5344,MASTER,0,0,0,0,1600,0,0,0,100,0,0,0,1700
Marshfield,Marshfield,Marshfield Reservoir,0,0,0,0,1200,10,0,0,500,8,0,0,
Marshfield,Marshfield,Winooski River,250,9.1,0,0,0,0,0,0,0,0,0,0,
Marshfield,5658,MASTER,250,0,0,0,1200,0,0,0,500,0,0,0,1950
Mcindoe Falls,5050,,,,,,,,,,,,,,
Middlebury,5753,,,,,,,,,,,,,,
Middletown Springs,5757,,,,,,,,,,,,,,
Milton,Milton,Lake Champlain,0,0,0,0,0,0,0,0,4400,8.71,26999,7.42628764,
Milton,5468,MASTER,0,0,0,0,0,0,5144,0,4400,0,26999,0,36543
Montgomery,5470,,,,,,,,,,,,,,
Montgomery Center,5471,,,,,,,,,,,,,,
Montpelier,5602,,,,,,,,,,,,,,
Moretown,5660,,,,,,,,,,,,,,
Morgan,Morgan,Seymour Lake,0,0,0,0,0,0,0,0,0,0,2000,7.1,
Morgan,5853,MASTER,0,0,0,0,0,0,0,0,0,0,2000,0,2000
Morristown,Morristown,Lamoille River,0,0,0,0,400,10.5,0,0,0,0,0,0,
Morristown,5661,MASTER,0,0,0,0,400,0,0,0,0,0,0,0,400
Mount Holly,Mount Holly,Mill River,252,9,0,0,0,0,0,0,0,0,0,0,
Mount Holly,5758,MASTER,252,0,0,0,0,0,0,0,0,0,0,0,252
Mount Tabor,Danby,Otter Creek,0,0,0,0,250,16,0,0,250,15.1,0,0,
New Haven,New Haven,New Haven River Lower,0,0,0,0,750,10.1,0,0,2000,9,0,0,
New Haven,5472,MASTER,0,0,0,0,750,0,0,0,2000,0,0,0,2750
Newark,Burke,Newark Pond,0,0,0,0,1440,10.5,0,0,0,0,0,0,
Newark,Burke,Passumpsic River East Branch,100,9.6,0,0,0,0,0,0,0,0,0,0,
Newbury,5051,,,,,,,,,,,,,,
Newfane,5345,,,,,,,,,,,,,,
Newport,Newport,Lake Memphremagog,0,0,0,0,0,0,0,0,0,0,30000,7.1,
Newport,5855,MASTER,0,0,0,0,0,0,0,0,0,0,30000,0,30000
Newport Center,5857,,,,,,,,,,,,,,
North Bennington,5257,,,,,,,,,,,,,,
North Concord,5858,,,,,,,,,,,,,,
North Ferrisburgh,5473,,,,,,,,,,,,,,
North Hartland,5052,,,,,,,,,,,,,,
North Hero,North Hero,Lake Champlain,0,0,0,0,0,0,0,0,4400,8.71,7000,7.617594286,
North Hero,5474,MASTER,0,0,0,0,0,0,0,0,4400,0,7000,0,11400
North Montpelier,5666,,,,,,,,,,,,,,
North Pomfret,5053,,,,,,,,,,,,,,
North Pownal,5260,,,,,,,,,,,,,,
North Springfield,5150,,,,,,,,,,,,,,
North Troy,5859,,,,,,,,,,,,,,
Northfield,5663,,,,,,,,,,,,,,
Northfield Falls,5664,,,,,,,,,,,,,,
Norton,5907,,,,,,,,,,,,,,
Norwich,5055,,,,,,,,,,,,,,
Orange,5641,,,,,,,,,,,,,,
Orleans,5860,,,,,,,,,,,,,,
Orwell,5760,,,,,,,,,,,,,,
Pawlet,5761,,,,,,,,,,,,,,
Peacham,Peacham,Martin's Pond,800,9.1,0,0,0,0,0,0,0,0,0,0,
Peacham,5862,MASTER,800,0,0,0,0,0,0,0,0,0,0,0,800
