Water,Town,Location,Species,Planned #,# Stocked,Age,Length,Date Stocked,County
Lake Champlain,Colchester,Main Lake - Winooski River - access area,STT,5000,5000,YR,7.87,3/13/13,Chittenden
Lake Champlain,Winooski,Main Lake - Winooski River - salmon hole,STT,5000,5000,YR,7.99,3/14/13,Chittenden
Lake Champlain,Winooski,Main Lake - Winooski River - salmon hole,STT,5000,5000,YR,6.74,3/14/13,Chittenden
Lake Champlain,Milton,Malletts Bay - Lamoille River,LAS,10000,6770,YR,7.13,3/14/13,Chittenden
Lake Champlain,Milton,Malletts Bay - Lamoille River,LAS,10000,6410,YR,7.52,3/14/13,Chittenden
Lake Champlain,Milton,Malletts Bay - Lamoille River,LAS,10000,3410,YR,7.39,3/18/13,Chittenden
Lake Champlain,Milton,Malletts Bay - Lamoille River,LAS,10000,3410,YR,7.39,3/18/13,Chittenden
Lake Champlain,Shelburne,Main Lake - LaPlatte River - below Falls Rd.,STT,800,1500,YR,6.95,3/18/13,Chittenden
Lake Champlain,Shelburne,Main Lake - LaPlatte River - below Falls Rd.,STT,800,1500,YR,7.87,3/18/13,Chittenden
Lake Champlain,Ferrisburg,Main Lake - Lewis Creek - access area,STT,9000,1225,YR,7.99,3/28/13,Addison
Lake Champlain,Ferrisburg,Main Lake - Lewis Creek - access area,STT,9000,6000,YR,7.99,3/26/13,Addison
Lake Champlain,Georgia,Inland Sea - Mill River below falls,STT,2500,2644,YR,7.87,3/25/13,Franklin
Lake Champlain,Georgia,Inland Sea - Mill River below falls,STT,2500,1080,YR,6.95,3/25/13,Franklin
Lake Champlain,Georgia,Inland Sea - Mill River below falls,STT,2500,1420,YR,6.74,3/25/13,Franklin
Lake Champlain,Grand Isle,Inland Sea - Grand Isle State Park,LAS,3500,2243,YR,7.5,3/25/13,Grand Isle
Lake Champlain,Grand Isle,Inland Sea - Grand Isle State Park,LAS,3500,1194,YR,7.39,3/25/13,Grand Isle
Lake Champlain,Grand Isle,Inland Sea - Grand Isle State Park,LAS,3500,2369,YR,7.13,3/25/13,Grand Isle
Lake Champlain,Grand Isle,Inland Sea - Grand Isle State Park,LAS,3500,1194,YR,7.39,3/25/13,Grand Isle
Lake Champlain,Ferrisburg,Main Lake - Lewis Creek - access area,STT,9000,3000,YR,7.99,3/26/13,Addison
Lake Champlain,South Hero,Inland Sea - Appletree Bay,LAS,3500,2369,YR,7.13,3/27/13,Grand Isle
Lake Champlain,South Hero,Inland Sea - Appletree Bay,LAS,3500,1194,YR,7.48,3/27/13,Grand Isle
Lake Champlain,South Hero,Inland Sea - Appletree Bay,LAS,3500,2243,YR,7.52,3/27/13,Grand Isle
Lake Champlain,South Hero,Inland Sea - Appletree Bay,LAS,3500,1194,YR,7.48,3/27/13,Grand Isle
Lake Champlain,Ferrisburg,Main Lake - Converse Bay,LAS,7000,3368,YR,7.39,3/27/13,Addison
Lake Champlain,Ferrisburg,Main Lake - Converse Bay,LAS,7000,3632,YR,7.48,3/27/13,Addison
Lake Champlain,Ferrisburg,Main Lake - Converse Bay,LAS,7000,726,YR,7.48,3/28/13,Addison
