Wolcott,Wolcott,Zack Woods-Perch Ponds,150,9.1,0,0,0,0,0,0,0,0,0,0,
Plymouth,5056,MASTER,0,0,200,0,3690,0,0,0,550,0,0,0,4440
Bethel,5032,MASTER,400,0,0,0,0,0,0,0,0,0,0,0,400
Bennington,5201,MASTER,4050,0,0,0,500,0,0,0,200,0,0,0,4750
Bristol,5443,MASTER,1201,0,0,0,750,0,0,0,0,0,0,0,1951
Shaftsbury,5262,MASTER,1150,0,0,0,800,0,0,0,0,0,0,0,1950
Coventry,5825,MASTER,0,0,0,0,0,0,4600,0,0,0,0,0,4600
Cavendish,5142,MASTER,0,0,0,0,2925,0,0,0,250,0,0,0,3175
Weathersfield,5151,MASTER,0,0,0,0,1260,0,0,0,250,0,0,0,1510
Craftsbury,5826,MASTER,0,0,0,0,0,0,7000,0,300,0,0,0,7300
Irasburg,5845,MASTER,0,0,0,0,0,0,0,0,300,0,0,0,300
Warren,5674,MASTER,700,0,0,0,0,0,0,0,0,0,0,0,700
Jeffersonville,5464,MASTER,600,0,0,0,0,0,0,0,0,0,0,0,600
Jericho,5465,MASTER,900,0,0,0,0,0,0,0,0,0,0,0,900
Underhill,5489,MASTER,900,0,0,0,0,0,0,0,0,0,0,0,900
Manchester,5255,MASTER,800,0,0,0,0,0,0,0,0,0,0,0,800
Belvidere,5442,MASTER,100,0,0,0,0,0,0,0,400,0,0,0,500
West Rutland,5777,MASTER,826,0,0,0,0,0,0,0,0,0,0,0,826
Clarendon,5759,MASTER,516,0,0,0,0,0,0,0,1000,0,0,0,1516
Brighton,5846,MASTER,300,0,0,0,1500,0,0,0,1500,0,0,0,3300
Charleston,5872,MASTER,0,0,0,0,1000,0,0,0,0,0,23023,0,24023
Derby,5829,MASTER,0,0,0,0,0,0,0,0,0,0,23023,0,23023
Shrewsbury,5738,MASTER,1829,0,303,0,550,0,0,0,500,0,0,0,3182
Killington,5751,MASTER,1500,0,0,0,1500,0,0,0,0,0,0,0,3000
Rutland,5701,MASTER,0,0,0,0,1500,0,0,0,0,0,0,0,1500
Chittenden,5737,MASTER,0,0,0,0,250,0,0,0,0,0,0,0,250
Woodbury,5681,MASTER,0,0,0,0,3000,0,0,0,900,0,0,0,3900
Averill,5901,MASTER,0,0,0,0,0,0,0,0,600,0,0,0,600
Hyde Park,5655,MASTER,650,0,0,0,400,0,0,0,650,0,0,0,1700
Eden,5652,MASTER,500,0,0,0,0,0,0,0,650,0,0,0,1150
Castleton,5735,MASTER,0,0,0,0,2025,0,0,0,5000,0,0,0,7025
Fair Haven,5743,MASTER,0,0,0,0,1225,0,0,0,0,0,0,0,1225
Wilmington,5363,MASTER,0,0,500,0,1150,0,0,0,1850,0,0,0,3500
Whitingham,5361,MASTER,0,0,500,0,450,0,0,0,3050,0,0,0,4000
Barnet,5821,MASTER,300,0,2000,0,1975,0,0,0,0,0,0,0,4275
Holland,5830,MASTER,0,0,0,0,1200,0,0,0,1100,0,0,0,2300
Pownal,5261,MASTER,0,0,0,0,0,0,0,0,600,0,0,0,600
Stamford,5352,MASTER,0,0,0,0,0,0,0,0,1900,0,0,0,1900
